0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
01110100,Arroz,119.28,-0.67,-3.38,-16.47,-0.01,-0.04,-0.21,,,,,,,,,,,,
01110200,Pastas Alimenticias,112.97,0.52,1.79,6.0,0.0,0.0,0.01,,,,,,,,,,,,
01110300,Avena Y Sus Derivados,107.86,0.83,5.76,11.48,0.0,0.0,0.0,,,,,,,,,,,,
01110500,Trigo Y Sus Derivados,108.16,0.76,0.98,1.09,0.0,0.0,0.0,,,,,,,,,,,,
01110600,Maíz Y Sus Derivados,112.76,0.38,0.13,0.62,0.0,0.0,0.0,,,,,,,,,,,,
01110800,Pan,109.4,1.11,2.37,4.71,0.01,0.02,0.03,,,,,,,,,,,,
01119800,"Otras Harinas, Cereales Y Almidones",107.62,0.85,1.12,3.04,0.0,0.0,0.01,,,,,,,,,,,,
01119900,Otros Productos De Panadería,103.91,0.17,0.74,1.58,0.0,0.0,0.0,,,,,,,,,,,,
01120100,Carne De Res Y Derivados,118.74,5.3,8.99,12.12,0.11,0.17,0.23,,,,,,,,,,,,
01120200,Carne De Cerdo Y Derivados,116.8,1.04,2.87,13.31,0.01,0.01,0.06,,,,,,,,,,,,
01120300,Carne De Aves,115.9,2.11,7.17,11.82,0.03,0.09,0.14,,,,,,,,,,,,
01120500,"Carnes Preparadas, Charcutería Y Otros Productos Conteniendo Carne",111.6,0.45,2.91,4.47,0.0,0.01,0.02,,,,,,,,,,,,
01130300,Productos de rio y mar (incluye pescados y camarones frescos o congelados y pescado enlatado como sardinas y atún),116.32,0.47,1.83,6.03,0.0,0.01,0.04,,,,,,,,,,,,
01140100,Leche,112.22,0.42,1.17,2.3,0.0,0.01,0.02,,,,,,,,,,,,
01140200,Quesos Y Productos Afines,111.95,1.65,2.3,0.17,0.01,0.01,0.0,,,,,,,,,,,,
01140500,Huevos,111.41,1.49,1.72,-0.56,0.01,0.01,0.0,,,,,,,,,,,,
01149900,Otros Derivados De La Leche,111.55,0.38,2.34,5.65,0.0,0.01,0.01,,,,,,,,,,,,
01150100,Aceites Comestibles,130.39,5.0,13.17,18.18,0.03,0.07,0.09,,,,,,,,,,,,
01150200,Mantequilla De Vaca,122.55,1.03,2.4,5.96,0.0,0.0,0.0,,,,,,,,,,,,
01150500,Margarinas y grasas animales y vegetales,110.77,1.45,2.9,5.15,0.0,0.0,0.0,,,,,,,,,,,,
01160200,Frutas Congeladas O En Pulpa,104.29,0.76,2.1,1.64,0.0,0.0,0.0,,,,,,,,,,,,
01160300,"Frutos Secos Y Nueces, Cáscaras De Frutas Y Semillas Comestibles",109.16,0.58,0.8,5.2,0.0,0.0,0.0,,,,,,,,,,,,
01160500,Naranjas,126.14,-3.29,7.58,-16.88,0.0,0.0,-0.01,,,,,,,,,,,,
01160600,Bananos,128.93,1.67,0.56,0.97,0.0,0.0,0.0,,,,,,,,,,,,
01160700,Tomate de árbol,114.28,1.76,9.59,-7.81,0.0,0.01,-0.01,,,,,,,,,,,,
01160800,Moras,107.79,-4.32,8.29,-11.4,0.0,0.01,-0.01,,,,,,,,,,,,
01160900,Frutas frescas,141.11,3.14,11.53,-0.32,0.03,0.1,0.0,,,,,,,,,,,,
01170200,Legumbres Secas,108.86,0.92,-1.26,2.47,0.0,0.0,0.01,,,,,,,,,,,,
01170300,Legumbres Y Hortalizas En Conserva Y Deshidratadas,108.11,0.32,2.19,4.65,0.0,0.0,0.0,,,,,,,,,,,,
01170400,Plátanos,96.73,6.93,-4.77,-11.87,0.02,-0.01,-0.04,,,,,,,,,,,,
01170500,Papas,145.4,18.78,84.41,30.07,0.06,0.19,0.09,,,,,,,,,,,,
01170600,Yuca Para Consumo En El Hogar,76.18,0.57,-3.3,-17.37,0.0,0.0,-0.02,,,,,,,,,,,,
01171100,"Productos Derivados De Los Tubérculos, Raíces Y Plátanos",107.62,0.56,1.59,3.86,0.0,0.0,0.0,,,,,,,,,,,,
01171200,"Arracacha, ñame y otros tubérculos",90.01,-3.25,-14.38,-24.74,0.0,0.0,-0.01,,,,,,,,,,,,
01171300,Tomate,123.89,-11.37,4.51,4.0,-0.03,0.01,0.01,,,,,,,,,,,,
01171400,Cebolla,124.78,3.19,23.5,17.15,0.01,0.05,0.04,,,,,,,,,,,,
01171500,Zanahoria,121.7,5.54,-2.4,-9.35,0.0,0.0,-0.01,,,,,,,,,,,,
01171600,Hortalizas y legumbres frescas ,144.85,4.13,9.68,2.73,0.02,0.04,0.01,,,,,,,,,,,,
01180100,Azúcar Y Otros Endulzantes,111.54,2.8,1.54,0.0,0.01,0.0,0.0,,,,,,,,,,,,
01180200,Panela Cruda Para Consumo En El Hogar,126.49,0.56,5.18,19.43,0.0,0.01,0.03,,,,,,,,,,,,
01180300,"Jaleas, Mermeladas, Miel Y Similares",110.34,0.54,1.44,4.36,0.0,0.0,0.0,,,,,,,,,,,,
01180500,"Dulces, Confites, Caramelos, Bombones, Chocolatinas, Chicles, Masmelos, Cocadas Para Consumo En El Hogar",124.56,0.93,3.86,11.92,0.0,0.0,0.01,,,,,,,,,,,,
01180600,"Helados, Conos, Paletas, Vasitos, Refrescos Congelados Y Tortas Heladas Para Consumo En El Hogar",108.85,0.77,1.89,3.52,0.0,0.0,0.0,,,,,,,,,,,,
01180700,"Gelatinas, Flanes Y Pudines En Polvo Para Preparar",103.21,0.17,1.07,2.95,0.0,0.0,0.0,,,,,,,,,,,,
01190100,"Salsas, Pastas Y Aderezos",107.08,-0.11,-0.05,3.15,0.0,0.0,0.01,,,,,,,,,,,,
01190200,Sal,118.36,0.85,2.71,3.36,0.0,0.0,0.0,,,,,,,,,,,,
01190500,"Sopas, Cremas, Caldos Y Consomés",109.09,0.38,1.22,2.43,0.0,0.0,0.0,,,,,,,,,,,,
01190600,"Frituras: papas fritas, chitos, maizitos, patacones, besitos, etc., para consumo en el hogar",112.02,0.43,1.52,4.13,0.0,0.0,0.0,,,,,,,,,,,,
01190800,Condimentos y hierbas culinarias,118.58,-0.45,1.29,6.02,0.0,0.0,0.0,,,,,,,,,,,,
01191100,Leche En Polvo Para Lactantes,106.5,0.13,0.31,3.71,0.0,0.0,0.0,,,,,,,,,,,,
